content_type,content_id,genre,num_packets,pkt_size_mean,pkt_size_std,pkt_size_cv,inter_mean,inter_std,inter_cv,p95_inter,burst_mean,burst_max,num_silence_gaps,silence_ratio,flow_duration,pkt_rate
music,spotify:track:2X485T9Z5Ly0xyaghN73ed,neo-psychedelic,74,112.432432432432,197.263514323537,1.754507218743,0.765339661950934,2.06130700034305,2.69332311236628,6.19837732315063,5.89189189189189,22,9,0.935882061889662,55.8697953224182,1.32450816354265
music,spotify:track:1HVYQj4liQb1QOygBfjZqV,neo-psychedelic,84,184.738095238095,418.319145624931,2.26439027145858,0.699071964585638,2.70785811611516,3.87350409298733,4.11755204200745,5.8452380952381,16,8,0.947362554211972,58.0229730606079,1.44770244558578
music,spotify:track:1cCbsojaA6GIT7Y3zuMJ1q,neo-psychedelic,58,98.8793103448276,205.404065835108,2.07732097967502,0.958135650869001,2.97630633945514,3.10635173292604,5.56064767837524,3.91379310344828,14,7,0.894347798726392,54.6137320995331,1.06200396439297
music,spotify:track:5h9hkYIBWTZYFRmF6Iz1gt,neo-psychedelic,64,121.984375,252.754975976457,2.0720274705384,0.900170969584632,2.87377804861424,3.192480257323,5.84314336776733,5.3125,16,9,0.966842606619309,56.7107710838318,1.12853341220477
music,spotify:track:3LbZIhU0smEU5SUnxod4j4,neo-psychedelic,30,64.0666666666667,13.4286592364573,0.209604462587782,1.8692859370133,3.90212131007608,2.08749300083582,10.75418343544,2.3,6,8,0.980023420038359,54.2092921733856,0.553410657052052
music,spotify:track:6RZmhpvukfyeSURhf4kZ0d,neo-psychedelic,53,121.094339622642,233.905662660321,1.9315986477091,1.07972575609501,3.40038036171711,3.14930003523775,5.65088330507278,5.86792452830189,21,7,0.959439106753975,56.1457393169403,0.943971896083107
music,spotify:track:6K4t31amVTZDgR3sKmwUJJ,neo-psychedelic,62,123.983870967742,256.319199432892,2.06735922529457,0.763701493622827,2.80919877695507,3.6783989561535,3.07236576080322,5.95161290322581,18,6,0.928101143033518,46.5857911109924,1.33087790335647
music,spotify:track:52ojopYMUzeNcudsoz7O9D,neo-psychedelic,45,105.266666666667,214.724153793238,2.03981146732019,1.02719011090019,2.47750584350037,2.41192532639278,5.37059142589569,3.71111111111111,13,7,0.93741302231175,45.1963648796082,0.995655294842158
music,spotify:track:0mO6oS60RST2sWmN2FKknP,neo-psychedelic,69,150.985507246377,323.574666819502,2.14308427822477,0.839875298387864,2.42350684916602,2.88555557452151,6.038327896595,5.60869565217391,16,8,0.923973294690653,57.1115202903748,1.20816255020318
music,spotify:track:5M4yti0QxgqJieUYaEXcpw,neo-psychedelic,48,102.1875,208.248715107081,2.03790791542097,1.20151940305182,2.87768748150911,2.39504037487856,8.15557353496551,3.83333333333333,14,7,0.895502301420602,56.4714119434357,0.849987601657259
music,spotify:track:1JpcqmUlzNlK7lpFOkszzv,neo-psychedelic,80,148.35,284.330358034453,1.91661852399361,0.715743082988111,2.20715884468066,3.08373059711053,4.56727769374847,7.1625,27,9,0.916059990719741,56.5437035560608,1.41483480863052
music,spotify:track:2drEUEg0TYQR6dDEHkpuPE,neo-psychedelic,60,94.4333333333333,186.849169712424,1.97863575410262,0.993098032676568,2.77179098405687,2.79105475275832,7.19417197704315,3.81666666666667,13,8,0.915064517583924,58.5927839279175,1.0240168836117
music,spotify:track:6qZjm61s6u8Ead9sWxCDro,neo-psychedelic,98,121.948979591837,261.442910319063,2.14387124184321,0.575585313679017,1.91015323509134,3.31862747310569,3.33083848953246,6.09183673469388,17,8,0.854830484592366,55.8317754268646,1.75527285762876
music,spotify:track:6ewQE1dNPv9qqlnB1CxrvM,neo-psychedelic,41,99.3658536585366,190.778093043323,1.91995626283168,1.12641875743866,2.89112578960692,2.56665273950248,4.12492218017578,3.19512195121951,11,7,0.888749301599073,45.0567502975464,0.909963539963349
music,spotify:track:0xtIp0lgccN85GfGOekS5L,neo-psychedelic,36,63.8333333333333,13.5820551545862,0.212773709993518,1.61640327317374,2.94006965704099,1.8188961293479,6.1951018810272,2.05555555555556,4,10,0.94834505521926,56.5741145610809,0.636333423497634
music,spotify:track:3kI3vRDwTbYs9O8svalUWu,neo-psychedelic,32,64.6875,14.136472111174,0.218534834568873,1.07916745831889,2.44345742903017,2.26420599527393,3.96074223518372,2.75,8,7,0.970703723755648,33.4541912078857,0.956531867745678
music,spotify:track:43evTNhnbi70nlOVZ8Q5sK,neo-psychedelic,60,121.483333333333,281.927442891882,2.32070881787803,0.953512022050761,2.85149867995469,2.99052200078385,6.91806445121765,4.61666666666667,13,8,0.945914227996715,56.2572093009949,1.06652997447811
music,spotify:track:1KcOU0q9AMXV9xi4tSzzCc,neo-psychedelic,71,152.056338028169,319.16201401831,2.0989721188681,0.836002836908613,2.90999011090089,3.48083760296975,6.69142313003539,5.2112676056338,16,6,0.918882941205701,58.5201985836029,1.21325630668475
music,spotify:track:3ZuT0Evo8chdVM6rPXXqgd,neo-psychedelic,58,105.172413793103,213.426813583117,2.02930412915095,0.979680111533717,3.4247637994294,3.49579802540631,4.59492349624632,4.55172413793104,14,5,0.891435255964648,55.8417663574219,1.03864909338226
music,spotify:track:1mM2u5TRMdUKsIfZKEI6yJ,art rock,59,120.779661016949,262.592683737433,2.17414655353754,0.963604010384658,3.24204307750348,3.36449728577749,4.96503951549529,5.15254237288136,18,7,0.945940904195738,55.8890326023102,1.05566328942973
music,spotify:track:2fV57qob1dYMJKEfTwHOt1,art rock,78,121.525641025641,222.487840310718,1.83078927568689,0.751726918406301,2.49538516447634,3.31953679371584,4.33206162452698,6.71794871794872,25,9,0.946165085825621,57.8829727172852,1.34754654673614
music,spotify:track:7c378mlmubSu7NGkLFa4sN,art rock,87,103.83908045977,178.518737453924,1.71918642445111,0.676642894744873,1.93058231805298,2.85317755206888,4.05712485313416,4.83908045977012,14,13,0.985763780251755,58.1912889480591,1.4950691344482
music,spotify:track:2fuYa3Lx06QQJAm0MjztKr,art rock,60,115.383333333333,231.58548397706,2.00709649554002,0.917931144520388,2.44213698585221,2.66047949285804,4.50330405235288,4.23333333333333,14,10,0.932218917056468,54.1579375267029,1.10787084479383
music,spotify:track:63OQupATfueTdZMWTxW03A,art rock,34,64.2352941176471,13.8522854846696,0.215649133003099,1.57608458490083,4.12671291988681,2.61833213738746,8.47089185714721,2.55882352941176,6,7,0.970076631543742,52.0107913017273,0.653710492554472
music,spotify:track:2a1iMaoWQ5MnvLFBDv4qkf,art rock,47,103.212765957447,210.332556961307,2.03785408723591,1.19771608580714,3.20336642081947,2.67456240988926,4.93352037668228,3.61702127659575,13,9,0.976019604255712,55.0949399471283,0.853072896442095
music,spotify:track:0Kwg1epDRFLyXFq09t7MtB,art rock,97,124.60824742268,228.939219264736,1.83727180182671,0.580619364976883,1.85809327575671,3.20019170533641,5.24270498752594,7.11340206185567,25,8,0.882564672757957,55.7394590377808,1.74023935062327
music,spotify:track:73CKjW3vsUXRpy3NnX4H7F,art rock,55,83.0727272727273,120.302777802956,1.44816213157421,0.961722493171692,2.06468813008373,2.14686476061773,5.77756992578506,3.09090909090909,9,9,0.884868970886806,51.9330146312714,1.05905656335386
music,spotify:track:7oDFvnqXkXuiZa1sACXobj,art rock,48,104.458333333333,224.971753628218,2.15369847908944,1.20153347989346,3.52385045620265,2.93279422935023,7.07224946022032,3.83333333333333,14,6,0.886933011238437,56.4720735549927,0.849977643432155
music,spotify:track:1tZcw7GtIqviL32bzaKdSo,art rock,48,133.5625,289.896310935048,2.17049179923293,1.00320297099174,3.51647915155189,3.50525193129719,3.63562395572662,4.66666666666667,16,4,0.870304371383187,47.1505396366119,1.01801592028288
music,spotify:track:2QwObYJWyJTiozvs0RI7CF,art rock,59,106.694915254237,196.469452858068,1.84141345808198,0.961986570522703,3.07533950836767,3.19686324383578,6.63116503953933,4.71186440677966,15,6,0.905408244765103,55.7952210903168,1.05743823300737
music,spotify:track:65Qe2BvSSTOEC9ElDw3JgP,art rock,62,109.564516129032,208.032768895776,1.89872393221524,0.952870478395556,2.96857968994204,3.11540734784914,7.16851615905762,5.12903225806452,19,7,0.907946639088449,58.1250991821289,1.06666484655329
music,spotify:track:4mRSbPLnOm54ttkTYvxxSY,art rock,92,155.565217391304,354.438266665899,2.27839019936156,0.651992229314951,2.46778044039456,3.7849844360683,3.30770432949066,7.35869565217391,28,7,0.866834560106753,59.3312928676605,1.5506151232067
music,spotify:track:6yiSyupeI7KYdBZKJdnIUO,art rock,66,116.060606060606,246.317169198692,2.12231503487123,0.914815715643076,2.42462453497598,2.65039667937009,7.13757662773132,3.84848484848485,13,8,0.895665219971923,59.4630215167999,1.10993350684935
music,spotify:track:7KHQtpLpoIV3Wfu22YQT8y,art rock,50,100.18,203.819791973204,2.03453575537237,1.21788924080985,3.42175895700701,2.80958139898804,8.3965233325958,4.86,16,8,0.977503867253185,59.6765727996826,0.837849723170864
music,spotify:track:5JZ1jTanqLWVuThmZ6XRAc,art rock,57,148.614035087719,309.976499074454,2.08578213283483,0.804581310067858,2.33916720041842,2.90730989043374,6.57943147420883,6.6140350877193,17,6,0.952789155677663,45.0565533638001,1.26507679226516
music,spotify:track:5h4y42RUKwYKYWgutNwvKP,art rock,84,122.714285714286,217.708551980491,1.77410927108666,0.696957490530359,2.1211945077,3.04350629202055,4.15996499061584,6.33333333333333,21,9,0.926423003412251,57.8474717140198,1.45209457753435
music,spotify:track:2dDqsUr11Mv0qhXByNfbJx,art rock,62,127.193548387097,274.121402273123,2.15515178048866,0.851767391454978,2.96626857779625,3.48248665956713,5.1188223361969,5.5,16,6,0.912771475148262,51.9578108787537,1.19327583189908
music,spotify:track:1FoUsSi9BCTlNt2Vd7V8XA,art rock,34,64.2352941176471,13.8522854846696,0.215649133003099,1.48965558138761,3.78898308758477,2.54352961511771,9.62055587768554,3.73529411764706,8,6,0.987015487589047,49.158634185791,0.691638418421061
music,spotify:track:62SvkbQm1wMS6KZtbtls1V,art rock,89,109.516853932584,178.529455748561,1.63015507967805,0.676203803582625,2.49898512184895,3.6956093837523,3.43096247911453,6.02247191011236,17,7,0.916217589625828,59.505934715271,1.49564913862549
