content_type,genre,content_id,num_packets,pkt_size_mean,pkt_size_std,pkt_size_cv,inter_mean,inter_std,inter_cv,p95_inter,burst_mean,burst_max,num_silence_gaps,silence_ratio,flow_duration,pkt_rate
music,rap,spotify:track:1rQEgtQNsj63xIUzEmKbML,68,139.411764705882,260.993758957054,1.87210713175946,0.833074822354673,2.82209587732147,3.38756592036338,6.59649968147277,7.44117647058824,24,7,0.969090577924732,55.8160130977631,1.21828837686591
music,rap,spotify:track:42VsgItocQwOQC3XWZ8JNA,50,100.62,203.732362672208,2.02477005239722,1.18720430743938,3.38186355703398,2.84859441280849,9.6576567649841,5.02,16,6,0.954175714365113,58.1730110645294,0.85950510528906
music,rap,spotify:track:4b7vk8SRcYgnxpk0JOIS7r,218,3437.33486238532,8805.39004928102,2.56169107806115,0.272163561412266,1.63707833149941,6.01505331207658,0.390211200714111,48.1651376146789,122,7,0.908644655964546,59.0594928264618,3.69119322850542
music,rap,spotify:track:6uJONCdr2rC65BNmCnTBWK,66,130.69696969697,264.414273768712,2.02310944455541,0.888578521288358,2.53015427636885,2.84741777541545,6.79125981330871,5.56060606060606,20,7,0.901750161976356,57.7576038837433,1.14270668383071
music,rap,spotify:track:4AO1XhrgJczQ9bNVxdfKQe,44,108.022727272727,228.229498595001,2.11279148709869,1.1220749034438,3.51352206716917,3.13127230311068,10.0137348175049,6.04545454545455,20,5,0.94525474633583,48.2492208480835,0.911931824527022
music,rap,spotify:track:6s8WSX1MxNThrot8ThI6fG,67,194.298507462687,409.575609076042,2.10797094854009,0.774971412889885,2.47470475019875,3.19328520902535,4.85562461614609,5.19402985074627,16,8,0.93285088529226,51.1481132507324,1.30992124130875
music,rap,spotify:track:6urLjX35oXXRYtcH1b3dCh,51,95.9019607843137,127.466605377061,1.32913450710082,0.977652311325073,3.04240534886426,3.11195024409107,6.57752219438551,4.15686274509804,12,5,0.888749688762858,48.8826155662537,1.04331569432647
music,rap,spotify:track:0hKtu53OlIFXVuYkZwcn3o,69,3058.24637681159,10797.003514,3.53045575263837,0.734625497285058,2.51902154621939,3.42898736230759,3.3833794593811,7.50724637681159,27,7,0.907312176345429,49.9545338153839,1.38125600881398
music,rap,spotify:track:1pzN8bCzy017iK3vWzkk6Z,77,145.428571428571,290.616292236935,1.99834385624612,0.680851305785932,2.32072833481167,3.40856853044112,5.59919732809067,7.85714285714286,27,7,0.949945229296675,51.7446992397308,1.48807512907288
music,rap,spotify:track:2yUzr8Sr6ldG8vmHhZwTnz,238,19644.8907563025,27414.846856945,1.39552045348736,0.246135890735353,1.50396344474181,6.11029720309617,0.107808780670165,61.0672268907563,167,7,0.936403247859862,58.3342061042786,4.07993895681977
music,rap,spotify:track:3MG4uJgccswTKrjheG54eW,74,14540.3648648649,25500.7081526336,1.75378736294666,0.691102978301375,2.4796452748353,3.58795339144666,3.5958565711975,13.1216216216216,42,6,0.887359992724551,50.4505174160004,1.46678376734608
music,rap,spotify:track:40mjsnRjCpycdUw3xhS20g,68,102.455882352941,197.14897575658,1.92423286227177,0.826226896314479,2.70227961273632,3.27062653708113,5.49942524433135,5.14705882352941,16,7,0.89606374718525,55.3572020530701,1.22838578320504
music,rap,spotify:track:5P03xImM2uFukzoty7NDw7,244,23968.1680327869,30016.0306934581,1.25232894947992,0.186382977560224,1.15800461386715,6.21303849217119,0.0712984561920162,75.4344262295082,190,5,0.808269897222738,45.2910635471344,5.38737624798917
music,rap,spotify:track:6Gp3pYkydEOkl8EHHJxa9s,55,115.254545454545,217.299811168543,1.8853903792822,0.991473975004973,2.52299794871337,2.54469407399293,6.43072892427444,6.25454545454546,23,10,0.985403947721437,53.5395946502686,1.02727710882518
music,rap,spotify:track:4R67rQNSbbsR4TdUVOIdez,54,119.203703703704,228.710101125099,1.91864928705225,1.02496141307759,3.02894533075474,2.95517986541553,9.30801844596863,4.46296296296296,14,6,0.920391258015626,54.3229548931122,0.994054909315083
music,rap,spotify:track:5SIvP6TdWc9DNvKbENjnYc,242,3578.15702479339,8338.88297066722,2.33049665313353,0.241664961660551,1.40086683016155,5.79673122878789,0.419735908508301,63.7892561983471,170,9,0.930606641192999,58.2412557601929,4.15513018806514
music,rap,spotify:track:1SGt65i9AnXYdDQt1AtDRH,202,16943.7574257426,25287.0943295049,1.49241361842718,0.289694316351592,1.66918210622993,5.76187385120839,0.678626298904419,46.3712871287129,134,7,0.894072603519055,58.2285575866699,3.46908816518998
music,rap,spotify:track:7lEQxb3JnTJcj2bHrP6kwH,32,64.6875,14.136472111174,0.218534834568873,1.2614332860516,2.75008656073451,2.18012842307542,8.23359215259552,2.75,6,6,0.97465368519968,39.1044318675995,0.81832156795798
music,rap,spotify:track:1OLABkcTvWfXE2xs5Yb2Ex,82,114.390243902439,192.885898035383,1.68620934316646,0.577897469202677,1.99717316700189,3.45592994161642,3.2290620803833,6.48780487804878,22,8,0.948296467779506,46.8096950054169,1.75177385775555
music,rap,spotify:track:0fWUkzpVtkK54XGwXzOQxu,56,131.321428571429,269.322503644585,2.05086486321686,1.07485456466675,3.3348783364329,3.10263215699964,8.43614046573639,5,14,6,0.966279115190222,59.1170010566711,0.94727403283392
music,rap,spotify:track:6NMtzpDQBTOfJwMzgMX0zl,96,12925.4375,24315.1314967538,1.88118440840039,0.589501840189884,2.24025487727307,3.80025086359606,2.846697473526,12,42,7,0.912122994202069,56.0026748180389,1.71420383601173
music,rap,spotify:track:4ea9w8c4ROqiZpJVhfBA3m,60,117.266666666667,232.903904838216,1.9861049303998,0.98903996661558,2.87105667232413,2.90287224908481,7.37712981700897,4.96666666666667,16,8,0.942275666839739,58.3533580303192,1.02821846120364
music,rap,spotify:track:27a1mYSG5tYg7dmEjWBcmL,63,83.4285714285714,86.0436792520463,1.03134547048686,0.78279903627211,2.13376757743781,2.72581783901952,6.15591089725494,5.49206349206349,18,8,0.941347663394736,48.5335402488709,1.29807138891884
music,rap,spotify:track:6qUabsNxudatEFedWGHoDh,62,127.661290322581,241.768814095827,1.89383025570958,0.952362584286049,2.62467403901776,2.75596089380746,6.67823314666748,5.95161290322581,18,9,0.952739241052006,58.094117641449,1.06723369795644
music,rap,spotify:track:6ToUq75iHEOgqD1lT0eJoh,50,100.38,204.234168541897,2.03461016678519,1.06360722561272,3.30985231260152,3.11191221053881,5.85257992744445,4.14,14,7,0.949648980886944,52.1167540550232,0.959384384284785
music,rap,spotify:track:3cM1GiA3OqESGO5zEZATAP,68,114.691176470588,241.945378944781,2.10953785975703,0.694034252593766,1.89137206927594,2.72518548213931,5.22491054534912,4.73529411764706,16,9,0.929553791486883,46.5002949237824,1.46235631648052
music,rap,spotify:track:4G2fyXeQw3prxfwJRwoIey,62,125.387096774194,257.005733263445,2.04969841295775,0.97991280086705,3.10848795640776,3.17220874516314,5.91002345085144,5.58064516129032,17,8,0.964279273659096,59.77468085289,1.03722845718887
